epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,180.643,0.9055,1.29215,1.39995,0.60638,1,0.74625,0.4975,1.89548,2.45723,2.75636,0.000973861,0.000973861,0.000973861
44,181.84,1.00547,1.24698,1.42597,0.27938,1,0.34825,0.1592,2.00326,3.24267,2.66205,0.000957358,0.000957358,0.000957358
45,183,0.83057,1.19588,1.26872,0.31299,0.93946,0.37312,0.21766,1.61179,3.61762,2.32665,0.000940855,0.000940855,0.000940855
46,184.15,0.98614,1.21859,1.47339,0.38301,1,0.74625,0.34825,1.86966,2.64506,2.38787,0.000924352,0.000924352,0.000924352
47,185.293,0.95792,1.14525,1.39035,0.6518,1,0.995,0.31891,2.40216,2.58731,2.79937,0.000907848,0.000907848,0.000907848
48,186.482,0.9328,1.21818,1.37851,0.37394,0.88602,0.62187,0.28814,2.20838,3.10189,3.12951,0.000891345,0.000891345,0.000891345
49,187.651,0.94282,1.11952,1.35814,0.34902,0.59708,0.597,0.1547,2.87057,3.8218,4.34982,0.000874842,0.000874842,0.000874842
50,188.812,0.85553,1.20784,1.30462,0.23348,0.5,0.28429,0.08903,2.88961,4.81138,4.84184,0.000858338,0.000858338,0.000858338
51,189.953,0.8326,1.09071,1.27199,0.11464,0.69478,0.22111,0.12161,2.52062,5.36737,4.79816,0.000841835,0.000841835,0.000841835
52,191.131,0.90011,1.07405,1.32444,0.41751,1,0.62187,0.27363,2.74408,4.06904,4.0218,0.000825332,0.000825332,0.000825332
53,192.28,0.85157,1.19248,1.30483,0.40813,0.5,0.55278,0.16583,2.9276,3.61741,4.01373,0.000808828,0.000808828,0.000808828
54,193.431,0.84133,1.08211,1.29238,0.52377,1,0.62187,0.22387,2.60804,3.63187,3.28382,0.000792325,0.000792325,0.000792325
55,194.588,0.7525,1.00423,1.23318,0.00334,1,0.51823,0.07969,2.47397,3.78106,3.46344,0.000775822,0.000775822,0.000775822
56,195.788,0.76239,1.16482,1.29386,0.53516,0.5,0.54725,0.41292,1.97407,3.07205,2.47038,0.000759318,0.000759318,0.000759318
